icao24,callsign,longitude,latitude,baro_altitude,on_ground,velocity
04023e,SKK079  ,36.6703,-1.2885,5600.7,False,192.33
04c1cc,FDS01   ,36.774,-1.2987,1828.8,False,51.49
ac7268,5YSLP   ,36.7653,-1.3048,1805.94,False,47.67
04c14b,KQA275  ,36.8389,-1.3842,2042.16,False,78.1
04c2ab,5YSAR   ,36.7249,-1.2834,1805.94,False,56.1
04c390,,36.9559,-1.1816,4434.84,False,118.78
896211,UAE719  ,36.8742,-1.4763,3512.82,False,121.72
04c115,KQA275  ,36.8389,-1.3844,2065.02,False,78.64
04c11c,KQA100  ,36.644,-1.1535,5402.58,False,212.27
a3c39a,UNO134H ,36.6703,-1.3709,3162.3,False,118.14
a916bc,5YPYR   ,36.7712,-1.3052,1851.66,False,43.39
8940ba,DHX406  ,36.8395,-1.3837,2103.12,False,78.94
04c2e8,RED444  ,36.9215,-1.4786,3009.9,False,107.38
04c387,,36.7886,-1.355,1912.62,False,44.33
